Title,Genre,Rating,Voting,Duration
1. Gladiator II,Action,6.5, (241K),2h 28m
2. Fight or Flight,Action,6.4, (12K),1h 42m
3. Kraven the Hunter,Action,5.5, (60K),2h 7m
4. Twisters,Action,6.5, (173K),2h 2m
5. Deadpool & Wolverine,Action,7.5, (500K),2h 8m
6. Dune: Part Two,Action,8.5, (633K),2h 46m
7. The Ministry of Ungentlemanly Warfare,Action,6.8, (137K),2h 2m
8. Freaky Tales,Action,6.3, (5.9K),1h 47m
9. Venom: The Last Dance,Action,6.0, (123K),1h 50m
10. The Beekeeper,Action,6.3, (159K),1h 45m
11. Sonic the Hedgehog 3,Action,6.9, (62K),1h 50m
12. Civil War,Action,7.0, (240K),1h 49m
13. Furiosa: A Mad Max Saga,Action,7.5, (288K),2h 28m
14. The Count of Monte-Cristo,Action,7.6, (36K),2h 58m
15. The Fall Guy,Action,6.8, (224K),2h 6m
16. Carry-On,Action,6.5, (169K),1h 59m
17. Road House,Action,6.2, (169K),2h 1m
18. Madame Web,Action,4.0, (102K),1h 56m
19. Transformers One,Action,7.6, (52K),1h 44m
20. Borderlands,Action,4.7, (49K),1h 41m
21. Homestead,Action,5.3, (3.9K),1h 52m
22. Elevation,Action,5.6, (23K),1h 31m
23. Rebel Ridge,Action,6.8, (90K),2h 11m
24. The Crow,Action,4.7, (36K),1h 51m
25. Godzilla x Kong: The New Empire,Action,6.0, (123K),1h 55m
26. Love Lies Bleeding,Action,6.6, (58K),1h 44m
27. Azrael,Action,5.4, (12K),1h 26m
28. Arcadian,Action,5.5, (24K),1h 32m
29. Pushpa: The Rule - Part 2,Action,6.1, (57K),3h 21m
30. Argylle,Action,5.6, (93K),2h 19m
32. Bad Boys: Ride or Die,Action,6.5, (101K),1h 55m
33. Kingdom of the Planet of the Apes,Action,6.9, (153K),2h 25m
34. The Lord of the Rings: The War of the Rohirrim,Action,6.3, (32K),2h 14m
35. Drive-Away Dolls,Action,5.4, (24K),1h 24m
36. Kung Fu Panda 4,Action,6.3, (69K),1h 34m
37. Red One,Action,6.3, (141K),2h 3m
38. Fighter,Action,6.2, (52K),2h 46m
39. The Killer's Game,Action,5.8, (18K),1h 44m
40. Damsel,Action,6.1, (110K),1h 50m
41. The Instigators,Action,6.2, (38K),1h 41m
42. Monkey Man,Action,6.8, (93K),2h 1m
43. Dirty Angels,Action,4.4, (3.6K),1h 44m
44. Maharaja,Action,8.4, (69K),2h 21m
45. Thelma,Action,7.0, (23K),1h 38m
46. The Union,Action,5.4, (54K),1h 47m
47. The Silent Hour,Action,6.1, (8K),1h 39m
48. Land of Bad,Action,6.6, (52K),1h 53m
49. Werewolves,Action,4.4, (7.3K),1h 33m
50. Hellboy: The Crooked Man,Action,4.5, (14K),1h 39m
1. Friendship,Comedy,7.6, (2.7K),1h 40m
2. Anora,Comedy,7.5, (195K),2h 19m
3. Beetlejuice Beetlejuice,Comedy,6.6, (151K),1h 45m
4. Fight or Flight,Comedy,6.4, (12K),1h 42m
5. Deadpool & Wolverine,Comedy,7.5, (500K),2h 8m
6. Paddington in Peru,Comedy,6.7, (24K),1h 46m
7. A Real Pain,Comedy,7.1, (100K),1h 30m
8. The Ministry of Ungentlemanly Warfare,Comedy,6.8, (137K),2h 2m
9. Freaky Tales,Comedy,6.3, (5.9K),1h 47m
10. Moana 2,Comedy,6.6, (106K),1h 40m
11. Sonic the Hedgehog 3,Comedy,6.9, (62K),1h 50m
12. The Uninvited,Comedy,5.4, (461),1h 37m
13. The Friend,Comedy,6.4, (2.4K),1h 59m
14. The Fall Guy,Comedy,6.8, (224K),2h 6m
